task_type,scheduled_hour,day_of_week,duration,previous_completion_rate,previous_task_status,activity_level,sleep_duration,user_preference,availability,completed,data_source
MEDITATION,16,4,20,0.7,COMPLETED,SEDENTARY,6.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,21,0,30,0.52,SKIPPED,LIGHTLY_ACTIVE,9.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,18,3,30,0.71,MISSED,VERY_ACTIVE,6.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,15,0,60,0.34,NONE,LIGHTLY_ACTIVE,7.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,10,3,20,0.78,SKIPPED,VERY_ACTIVE,5.0,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,15,1,20,0.47,RESCHEDULED,VERY_ACTIVE,6.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,16,6,10,0.35,RESCHEDULED,MODERATELY_ACTIVE,9.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,5,20,0.76,MISSED,LIGHTLY_ACTIVE,6.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,11,0,20,0.46,SKIPPED,SEDENTARY,9.8,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,9,1,20,0.33,COMPLETED,SEDENTARY,6.0,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,14,3,45,0.44,COMPLETED,SEDENTARY,8.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,1,30,0.51,RESCHEDULED,MODERATELY_ACTIVE,8.0,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,20,6,30,0.63,MISSED,LIGHTLY_ACTIVE,9.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,0,30,0.33,RESCHEDULED,MODERATELY_ACTIVE,7.8,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,19,4,10,0.89,MISSED,SEDENTARY,5.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,6,30,0.82,MISSED,VERY_ACTIVE,6.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,2,20,0.78,MISSED,LIGHTLY_ACTIVE,8.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,0,15,0.86,COMPLETED,LIGHTLY_ACTIVE,6.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,4,45,0.71,SKIPPED,VERY_ACTIVE,9.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,6,15,0.59,COMPLETED,SEDENTARY,6.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,5,10,0.44,COMPLETED,MODERATELY_ACTIVE,8.1,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,1,45,0.79,MISSED,SEDENTARY,7.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,4,10,0.9,MISSED,VERY_ACTIVE,5.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,6,15,0.83,NONE,VERY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,0,15,0.89,MISSED,SEDENTARY,5.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,22,3,45,0.79,COMPLETED,MODERATELY_ACTIVE,7.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,6,15,0.75,NONE,SEDENTARY,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,5,10,0.41,SKIPPED,MODERATELY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,1,20,0.7,MISSED,LIGHTLY_ACTIVE,8.4,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,8,1,20,0.79,NONE,LIGHTLY_ACTIVE,9.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,1,10,0.91,COMPLETED,SEDENTARY,6.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,4,20,0.88,SKIPPED,SEDENTARY,6.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,22,2,10,0.61,NONE,SEDENTARY,8.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,14,0,20,0.87,COMPLETED,MODERATELY_ACTIVE,6.1,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,5,20,0.83,COMPLETED,SEDENTARY,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,1,10,0.87,RESCHEDULED,MODERATELY_ACTIVE,7.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,4,20,0.63,RESCHEDULED,VERY_ACTIVE,6.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,2,20,0.33,MISSED,VERY_ACTIVE,7.1,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,0,10,0.82,NONE,VERY_ACTIVE,6.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,4,20,0.74,RESCHEDULED,SEDENTARY,7.3,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,4,20,0.73,RESCHEDULED,LIGHTLY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,1,20,0.71,SKIPPED,VERY_ACTIVE,7.5,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,21,2,15,0.69,SKIPPED,LIGHTLY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,1,20,0.83,SKIPPED,LIGHTLY_ACTIVE,8.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,0,15,0.91,NONE,SEDENTARY,8.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,6,15,0.73,RESCHEDULED,VERY_ACTIVE,7.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,3,20,0.58,COMPLETED,SEDENTARY,6.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,5,20,0.43,NONE,MODERATELY_ACTIVE,7.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,7,2,30,0.76,MISSED,VERY_ACTIVE,7.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,4,15,0.92,MISSED,MODERATELY_ACTIVE,8.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,4,15,0.31,SKIPPED,SEDENTARY,7.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,2,20,0.94,MISSED,MODERATELY_ACTIVE,8.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,2,45,0.55,SKIPPED,MODERATELY_ACTIVE,9.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,5,30,0.76,COMPLETED,LIGHTLY_ACTIVE,8.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,4,20,0.34,MISSED,MODERATELY_ACTIVE,9.1,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,3,10,0.68,COMPLETED,SEDENTARY,7.6,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,0,20,0.75,RESCHEDULED,VERY_ACTIVE,6.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,0,15,0.9,SKIPPED,MODERATELY_ACTIVE,10.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,13,4,20,0.35,RESCHEDULED,VERY_ACTIVE,8.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,2,30,0.49,COMPLETED,MODERATELY_ACTIVE,5.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,6,20,0.7,NONE,LIGHTLY_ACTIVE,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,1,45,0.36,MISSED,LIGHTLY_ACTIVE,6.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,2,20,0.47,SKIPPED,VERY_ACTIVE,6.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,13,3,15,0.82,NONE,LIGHTLY_ACTIVE,6.9,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,22,3,30,0.34,NONE,LIGHTLY_ACTIVE,6.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,7,6,15,0.67,NONE,VERY_ACTIVE,7.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,2,10,0.41,COMPLETED,SEDENTARY,4.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,0,15,0.53,SKIPPED,MODERATELY_ACTIVE,6.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,6,10,0.38,NONE,SEDENTARY,7.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,3,30,0.73,COMPLETED,MODERATELY_ACTIVE,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,3,20,0.63,NONE,SEDENTARY,9.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,3,20,0.54,MISSED,LIGHTLY_ACTIVE,9.2,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,8,3,20,0.56,NONE,LIGHTLY_ACTIVE,7.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,1,20,0.36,COMPLETED,MODERATELY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,14,6,15,0.87,RESCHEDULED,SEDENTARY,8.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,5,15,0.66,NONE,SEDENTARY,9.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,6,15,0.43,SKIPPED,MODERATELY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,21,6,20,0.58,COMPLETED,LIGHTLY_ACTIVE,8.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,19,5,20,0.74,NONE,VERY_ACTIVE,7.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,15,3,20,0.33,RESCHEDULED,LIGHTLY_ACTIVE,4.6,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,0,30,0.79,COMPLETED,VERY_ACTIVE,7.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,2,30,0.55,MISSED,MODERATELY_ACTIVE,6.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,13,6,45,0.54,NONE,SEDENTARY,7.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,0,15,0.49,MISSED,MODERATELY_ACTIVE,8.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,3,30,0.92,MISSED,VERY_ACTIVE,6.1,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,0,15,0.58,MISSED,LIGHTLY_ACTIVE,8.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,1,15,0.84,RESCHEDULED,VERY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,3,15,0.52,NONE,SEDENTARY,8.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,0,30,0.79,SKIPPED,MODERATELY_ACTIVE,6.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,17,6,15,0.49,COMPLETED,LIGHTLY_ACTIVE,9.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,3,10,0.78,COMPLETED,VERY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,0,15,0.38,NONE,LIGHTLY_ACTIVE,5.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,6,30,0.91,RESCHEDULED,MODERATELY_ACTIVE,9.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,6,15,0.81,SKIPPED,SEDENTARY,8.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,5,15,0.34,SKIPPED,SEDENTARY,8.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,1,30,0.79,NONE,SEDENTARY,9.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,14,6,60,0.58,SKIPPED,MODERATELY_ACTIVE,5.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,5,45,0.78,MISSED,SEDENTARY,7.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,0,20,0.4,COMPLETED,VERY_ACTIVE,8.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,5,30,0.81,NONE,VERY_ACTIVE,7.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,6,20,0.32,NONE,LIGHTLY_ACTIVE,5.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,0,30,0.34,RESCHEDULED,MODERATELY_ACTIVE,6.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,20,3,30,0.72,RESCHEDULED,VERY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,6,15,0.37,RESCHEDULED,SEDENTARY,7.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,6,20,0.42,MISSED,VERY_ACTIVE,5.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,6,30,0.92,NONE,LIGHTLY_ACTIVE,6.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,12,1,15,0.49,SKIPPED,LIGHTLY_ACTIVE,9.6,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,5,10,0.84,SKIPPED,SEDENTARY,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,1,30,0.61,COMPLETED,SEDENTARY,7.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,2,30,0.75,RESCHEDULED,SEDENTARY,7.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,2,45,0.56,MISSED,SEDENTARY,9.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,14,0,15,0.7,NONE,MODERATELY_ACTIVE,8.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,7,4,20,0.59,SKIPPED,LIGHTLY_ACTIVE,8.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,19,2,20,0.41,MISSED,MODERATELY_ACTIVE,8.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,18,6,10,0.45,SKIPPED,VERY_ACTIVE,6.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,21,5,30,0.5,SKIPPED,VERY_ACTIVE,5.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,1,15,0.76,RESCHEDULED,VERY_ACTIVE,5.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,4,10,0.36,RESCHEDULED,VERY_ACTIVE,6.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,5,15,0.52,NONE,VERY_ACTIVE,4.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,19,3,15,0.67,NONE,MODERATELY_ACTIVE,6.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,6,20,0.57,SKIPPED,SEDENTARY,7.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,16,5,60,0.52,RESCHEDULED,VERY_ACTIVE,8.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,5,45,0.81,RESCHEDULED,SEDENTARY,6.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,4,10,0.32,RESCHEDULED,LIGHTLY_ACTIVE,7.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,12,3,60,0.82,MISSED,SEDENTARY,9.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,1,20,0.73,NONE,MODERATELY_ACTIVE,7.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,9,6,10,0.83,COMPLETED,SEDENTARY,5.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,1,20,0.63,MISSED,LIGHTLY_ACTIVE,7.2,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,4,10,0.4,MISSED,SEDENTARY,6.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,0,20,0.79,SKIPPED,MODERATELY_ACTIVE,6.8,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,2,30,0.52,SKIPPED,SEDENTARY,6.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,3,20,0.81,MISSED,VERY_ACTIVE,7.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,6,30,0.56,RESCHEDULED,SEDENTARY,9.1,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,4,20,0.52,SKIPPED,VERY_ACTIVE,9.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,18,3,30,0.81,NONE,VERY_ACTIVE,5.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,2,15,0.79,MISSED,SEDENTARY,8.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,6,10,0.77,COMPLETED,SEDENTARY,7.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,1,15,0.88,MISSED,LIGHTLY_ACTIVE,6.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,0,20,0.4,NONE,MODERATELY_ACTIVE,8.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,10,3,15,0.55,COMPLETED,VERY_ACTIVE,7.5,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,6,60,0.56,SKIPPED,VERY_ACTIVE,6.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,4,30,0.54,RESCHEDULED,MODERATELY_ACTIVE,8.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,3,30,0.87,MISSED,LIGHTLY_ACTIVE,7.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,20,4,30,0.45,RESCHEDULED,VERY_ACTIVE,7.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,4,20,0.36,MISSED,VERY_ACTIVE,7.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,2,45,0.64,MISSED,VERY_ACTIVE,6.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,1,15,0.94,MISSED,VERY_ACTIVE,6.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,1,30,0.52,MISSED,SEDENTARY,8.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,21,0,60,0.84,COMPLETED,VERY_ACTIVE,6.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,3,45,0.46,SKIPPED,VERY_ACTIVE,9.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,6,3,15,0.34,RESCHEDULED,SEDENTARY,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,6,20,0.77,COMPLETED,LIGHTLY_ACTIVE,7.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,4,10,0.86,COMPLETED,SEDENTARY,7.8,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,0,10,0.54,NONE,MODERATELY_ACTIVE,6.1,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,1,20,0.74,COMPLETED,LIGHTLY_ACTIVE,8.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,12,5,30,0.68,RESCHEDULED,LIGHTLY_ACTIVE,7.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,3,30,0.81,NONE,MODERATELY_ACTIVE,7.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,1,20,0.91,COMPLETED,LIGHTLY_ACTIVE,6.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,12,0,45,0.31,NONE,SEDENTARY,4.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,5,10,0.42,SKIPPED,VERY_ACTIVE,8.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,17,2,15,0.59,MISSED,LIGHTLY_ACTIVE,7.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,1,30,0.69,MISSED,VERY_ACTIVE,5.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,0,10,0.83,NONE,MODERATELY_ACTIVE,6.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,6,20,0.41,MISSED,LIGHTLY_ACTIVE,8.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,3,20,0.63,MISSED,MODERATELY_ACTIVE,8.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,8,4,20,0.64,MISSED,VERY_ACTIVE,6.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,6,30,0.83,COMPLETED,SEDENTARY,4.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,0,45,0.94,RESCHEDULED,LIGHTLY_ACTIVE,6.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,9,0,10,0.75,NONE,MODERATELY_ACTIVE,6.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,0,20,0.32,COMPLETED,VERY_ACTIVE,6.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,1,20,0.77,NONE,SEDENTARY,5.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,6,30,0.58,COMPLETED,MODERATELY_ACTIVE,7.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,19,5,30,0.45,COMPLETED,SEDENTARY,7.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,6,15,0.78,COMPLETED,MODERATELY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,4,30,0.39,MISSED,VERY_ACTIVE,4.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,21,3,30,0.56,RESCHEDULED,MODERATELY_ACTIVE,8.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,13,4,60,0.44,MISSED,VERY_ACTIVE,8.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,20,0,30,0.43,MISSED,SEDENTARY,8.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,2,20,0.81,RESCHEDULED,MODERATELY_ACTIVE,8.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,13,4,20,0.39,NONE,LIGHTLY_ACTIVE,5.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,14,1,15,0.3,MISSED,SEDENTARY,6.8,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,6,20,0.34,MISSED,LIGHTLY_ACTIVE,7.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,2,45,0.43,NONE,SEDENTARY,7.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,5,45,0.67,MISSED,SEDENTARY,8.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,0,20,0.68,SKIPPED,LIGHTLY_ACTIVE,6.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,14,6,10,0.72,COMPLETED,SEDENTARY,7.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,21,6,15,0.88,NONE,VERY_ACTIVE,7.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,1,15,0.39,MISSED,VERY_ACTIVE,7.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,2,45,0.32,RESCHEDULED,VERY_ACTIVE,5.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,1,30,0.91,NONE,MODERATELY_ACTIVE,5.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,10,6,15,0.4,RESCHEDULED,VERY_ACTIVE,7.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
